Instructor,SectionID,Class
Brandon Bourgeois,['19831R'],['CLAS-349gp']
Stanley Huey,['35424R'],['GESM-130g']
Elaine Bell Kaplan,['35427R'],['GESM-130g']
Victoria Campbell-Arvai,['35428R'],['GESM-130g']
Anne Goldgar,['35429R'],['GESM-130g']
Naomi Sussman,['35431D'],['GESM-130g']
Erin Moore,['35432R'],['GESM-130g']
Reighan Gillam,['35433R'],['GESM-130g']
Paul Lichterman,['35435R'],['GESM-130g']
Luisa Reis Castro,['35439R'],['GESM-130g']
Jessica Kanoski,['35442R'],['GESM-130g']
Sarah Benor,['35443R'],['GESM-130g']
Eugenia Mora-Flores,['35450R'],['GESM-131g']
Laura Davis,['35451R'],['GESM-131g']
Stacy Smith,['35452R'],['GESM-131g']
Daniela Baroffio,['35453R'],['GESM-131g']
Emma Aguila Vega,['35454R'],['GESM-131g']
Laura Castaneda,['35455R'],['GESM-131g']
Najmedin Meshkati,['35456R'],['GESM-131g']
Min-Kyoung Rhee,['35457R'],['GESM-131g']
Alaina Morgan,['37028R'],['HIST-211gp']
"Joshua Goldstein,",['37030R'],['HIST-250g']
Brett Sheehan,['37107R'],['HIST-266gp']
Scott Applebaum,['33000D'],['ENST-100g']
Shannon Gibson,['33005R'],['ENST-150xg']
Eric Heller,"['10601R', '10602R', '10603R', '10604R', '10605R', '10666R', '10667R', '10668R', '10669R']","['ANTH-140g', 'ANTH-263g']"
Thomas Ward,['10610R'],['ANTH-201g']
Tracie Mayfield,"['10615R', '10616R', '10617R', '10718R', '10719R']",['ANTH-202g']
Sandy Wenger,"['10618R', '10660R']","['ANTH-205g', 'ANTH-263g']"
Janet Hoskins,['10619R'],['ANTH-250g']
Jennifer Cool,['10665R'],['ANTH-263g']
Tok Thompson,['10680D'],['ANTH-316mgp']
Kristiana Willsey,"['10681R', '10682R', '10683R', '10684R', '10628R']","['ANTH-316mgp', 'ANTH-332g']"
Xochitl Ruiz,['10687R'],['ANTH-338g']
George Sanchez,['10310R'],['AMST-101mgw']
Shawn McDaniel,['10320R'],['AMST-135mgw']
Evelyn Alsultany,"['10345R', '10358R']","['AMST-200mg', 'AMST-215gw']"
Adrian De Leon,['10370R'],['AMST-220gmw']
Francille Wilson,['10381R'],['AMST-252mgw']
Chris Finley,['10390R'],['AMST-274mw']
Oneka LaBennett,['10399R'],['AMST-285mg']
"Sarah Benor,",['38261R'],['JS-180gp']
Leah Hochman,['38255R'],['JS-211gw']
"Bruce Phillips,",['38225R'],['JS-379mg']
Andrew Simpson,"['38812R', '38837R']",['LING-115gw']
Robert Vos,['35628R'],['SSCI-165Lgw']
Guoping Huang,['35635R'],['SSCI-214g']
Jody Agius Vallejo,['61425R'],['SOCI-155mg']
Juliana Mc Gene,"['61440R', '61540D']","['SOCI-200mg', 'SOCI-242g']"
Deisy Del Real,['61521R'],['SOCI-235g']
Kit Myers,['61508R'],['SOCI-270g']
Robert Werth,['61511R'],['SOCI-270g']
Morris Levy,['51900R'],['POSC-100g']
Jeb Barnes,['51920R'],['POSC-130g']
Alison Dundes Renteln,['51945R'],['POSC-248gw']
Jefferey Sellers,['51940R'],['POSC-265gw']
Miranda Barone,"['52547R', '52548R']",['PSYC-353g']
Ciruce Movahedi-Lankarani,['41560R'],['MDES-213gp']
Ramzi Rouighi,['41500R'],['MDES-301g']
