AMST 101mgw Race and Class in Los Angeles	Fall 2015	GE-G, DCL
AMST 135mgw	Peoples and Cultures of the Americas	Fall 2015	GE-G, DCL 
AMST 140gw	Borderlands in a Global Context	Fall 2017	GE-G, DCL 
AMST 200mg	Introduction to American Studies and Ethnicity	Fall 2015	DCL 
AMST 204g	Introduction to Native Studies	Spring 2017	DCL 
AMST 211g	Sex in America	Fall 2020	DCL 
AMST 215gw	Race and Mixed Race	Fall 2019	GE-G, DCL 
AMST 220gmw	The Making of Asian America	Fall 2015	GE-G, DCL 
AMST 230g	Introduction to African American Studies	Fall 2015	DCL 
AMST 250mgw	The African Diaspora	Fall 2015	GE-G, DCL 
AMST 252mgw	Black Social Movements in the U.S.	Fall 2015	GE-G, DCL 
AMST 274mw	Exploring Ethnicity through Film	Fall 2015 to Fall 2022 
AMST 285mg	African American Popular Culture	Fall 2015	DCL 
ANTH 101g	Body, Mind and Healing: Introduction to Medical Anthropology	Fall 2015	DCL 
ANTH 140g	Mesoamerican Cosmovision and Culture	Fall 2015	DCL 
ANTH 201g	Introduction to Sociocultural Anthropology	Fall 2015	DCL 
ANTH 202g	Archaeology: Our Human Past	Fall 2015	DCL 
ANTH 205g	Introduction to Global Studies and Cross-cultural Research	Fall 2015	DCL 
ANTH 235g	The Changing Pacific:  History, Culture, Politics	Fall 2015	DCL 
ANTH 240gm	Collective Identity and Political Violence: 9/11	Fall 2015 to Summer 2017 
ANTH 250g	Race and Sexual Politics in Southeast Asia	Fall 2015	DCL 
ANTH 263g	Exploring Culture Through Film	Fall 2015	DCL 
ANTH 301g	The Global Performance of Healing	Fall 2018	DCL 
ANTH 314g	The Nature of Maya Civilization	Fall 2015	DCL 
ANTH 315gw	Native North Americans	Fall 2015	GE-G, DCL 
ANTH 316mgp	Native Americans in American Public Life	Fall 2015	GE-H, DCL 
ANTH 324gw	Contemporary China: Cultural Politics and Social Realities	Fall 2021	GE-G, DCL
ANTH 332g	Anthropology and Narrative Medicine	Fall 2015	DCL 
ANTH 333gm	Forms of Folklore	Spring 2016	DCL 
ANTH 338g	Food in Culture and Society	Spring 2018	DCL 
ANTH 344g	Social Memory	Fall 2020	 DCL
ANTH 357g	Cultures of Genocide, Cultures of Care	Fall 2015	DCL 
ANTH 371mg	Cross-Cultural Research on Urban Gangs	Fall 2015	DCL 
ANTH 377g	Archaeological Interpretation of Complex Societies	Fall 2018	DCL 
CLAS 190g	History of Science:  Antiquity to the Scientific Revolution	Fall 2021	DCL
CLAS 349gp	Ancient Empires	Fall 2018	GE-H, DCL 
EASC 150gp	East Asian Societies	Fall 2015	GE-H, DCL 
EASC 160mgp	China and the World	Fall 2015	GE-H, DCL 
ENST 100g	Introduction to Environmental Studies	Fall 2015	DCL 
ENST 150xg	Environmental Issues in Society	Fall 2015	DCL 
GESM 130g	Seminar in Social Analysis (limited to freshmen)	Fall 2015	DCL 
GESM 131g	Seminar in Social Analysis (limited to freshmen)	Fall 2016	 
HIST 101gp	State and Society in the Ancient World	Fall 2015	GE-H, DCL 
HIST 211gp	Race in America	Fall 2019	GE-H, DCL 
HIST 225g	Film, Power, and American History	Fall 2015	DCL 
HIST 237gp	Fascism	Fall 2019	GE-H, DCL 
HIST 250g	Climate Change: Science, History and Solutions	Fall 2019	DCL 
HIST 251gp	History of Science, Technology and Medicine	Fall 2020	GE-H, DCL 
HIST 265gw	Racism, Sexism, and the Law	Fall 2015	GE-G, DCL 
HIST 266gp	Business and East Asian Culture, 1800-Present	Fall 2015	GE-H, DCL 
HIST 268g	Kings, Courts, and Clerics: Foundations of East Asian Political Culture	Fall 2015	DCL 
HIST 324g	Islam in Russia, the USSR, and Independent States	Fall 2016 to Summer 2019 
HIST 352gp	The American Civil War	Spring 2016 to Summer 2022 
IR 101xgw	International Relations	Fall 2015	GE-G, DCL 
JS 180gp	Judaism	Fall 2015	GE-H, DCL 
JS 211gw	The Holocaust	Fall 2015	GE-G, DCL 
JS 328gw	Blacks and Jews: Conflicts and Alliances	Spring 2019	GE-G, DCL 
JS 379mg	Mixing and Matching: Intermarriage in 21st Century	Fall 2015	DCL 
JS 382g	Judaism as an American Religion	Spring 2022	DCL
LING 115gw	Language and Society	Fall 2015	GE-G, DCL 
MDES 213gp	Iran: From Antiquity to Modernity	Fall 2022	GE-H, DCL
MDES 301g	The Global Middle East	Fall 2017	DCL 
MDES 342g	Arab Intellectuals in Question	Fall 2015	DCL 
POSC 100g	Theory and Practice of American Democracy	Spring 2017	DCL 
POSC 110g	Ideology and Political Conflict	Spring 2016	DCL 
POSC 130g	Law, Politics and Public Policy	Fall 2015	DCL 
POSC 220g	Critical Issues in American Politics: Presidential Election	Fall 2016	DCL 
POSC 248gw	Human Rights	Fall 2015	GE-G, DCL 
POSC 265gw	Environmental Challenges	Fall 2015	GE-G, DCL 
PSYC 353g	Close Relationships	Fall 2015	DCL 
REL 303g	Exploring Ancient Ways of Living: Experimental Archaeology	Fall 2016	DCL 
REL 376g	Religion and Human Rights	Fall 2015	DCL
SOCI 100mgw	Los Angeles and the American Dream	Fall 2022	GE-G, DCL
SOCI 142mg	Diversity and Racial Conflict	Fall 2015	DCL 
SOCI 150mg	Social Problems	Fall 2015	DCL 
SOCI 155mg	Immigrant America	Fall 2015	DCL 
SOCI 169mg	Changing Family Forms	Fall 2015	DCL 
SOCI 200mg	Introduction to Sociology	Fall 2015	DCL 
SOCI 210g	Science, Technology, and Social Conflict	Fall 2015	DCL 
SOCI 215g	Sociology of Wall Street	Fall 2017	DCL 
SOCI 220mg	Questions of Intimacy	Fall 2015	DCL 
SOCI 225gw	Sociology of Health and the Body	Fall 2015	GE-G, DCL 
SOCI 235g	Migration, Law and Society	Spring 2022	DCL
SOCI 242g	Sociology, Demography and Health	Fall 2015	DCL 
SOCI 250mgw	Grassroots Participation in Global Perspective	Fall 2015	GE-G, DCL 
SOCI 255g	Sociology of Globalization	Fall 2015	DCL 
SOCI 270g	Sociological Theory	Fall 2018	DCL 
SSCI 165Lgw	Sustainability Science in the City	Fall 2015	GE-G, DCL 
SSCI 214g
