Class,Instructor,SectionID,Found,RMP Name,Avg. Rating,Avg. Difficulty,# of Ratings,would-Take-Again-Percent,url
"[""'GESM-130g'""]",Erin Moore,"[""'35432R'""]",True,Erin Moore,2.4,3.9,43,27.2727,https://www.ratemyprofessors.com/professor/677848
"[""'GESM-130g'""]",Stanley Huey,"[""'35424R'""]",True,Stanley Huey,4.1,2.5,6,100,https://www.ratemyprofessors.com/professor/1513381
"[""'GESM-130g'""]",Elaine Bell Kaplan,"[""'35427R'""]",True,Elaine Bell-Kaplan,1.6,2.6,15,66.6667,https://www.ratemyprofessors.com/professor/610947
"[""'GESM-130g'""]",Reighan Gillam,"[""'35433R'""]",True,Reighan Gillam,5,4,2,100,https://www.ratemyprofessors.com/professor/2650371
"[""'GESM-130g'""]",Naomi Sussman,"[""'35431D'""]",True,Naomi Sussman,0,0,0,-1,https://www.ratemyprofessors.com/professor/2849124
"[""'GESM-130g'""]",Anne Goldgar,"[""'35429R'""]",True,Anne Goldgar,5,3,1,100,https://www.ratemyprofessors.com/professor/2707969
"[""'GESM-130g'""]",Victoria Campbell-Arvai,"[""'35428R'""]",True,Victoria Campbell-Arvai,4.3,2.7,3,77.7778,https://www.ratemyprofessors.com/professor/2674690
"[""'CLAS-349gp'""]",Brandon Bourgeois,"[""'19831R'""]",False,N/A,N/A,N/A,N/A,N/A,N/A
"[""'GESM-130g'""]",Paul Lichterman,"[""'35435R'""]",True,Paul Lichterman,4,2.3,16,75,https://www.ratemyprofessors.com/professor/1423678
"[""'GESM-130g'""]",Luisa Reis Castro,"[""'35439R'""]",False,N/A,N/A,N/A,N/A,N/A,N/A
"[""'GESM-131g'""]",Eugenia Mora-Flores,"[""'35450R'""]",True,Eugenia Mora-Flores,5,2.4,10,100,https://www.ratemyprofessors.com/professor/708070
"[""'GESM-130g'""]",Sarah Benor,"[""'35443R'""]",True,Sarah Benor,4,2.5,18,88.8889,https://www.ratemyprofessors.com/professor/1307871
"[""'GESM-130g'""]",Jessica Kanoski,"[""'35442R'""]",True,Jessica Kanoski,4.6,2.5,10,100,https://www.ratemyprofessors.com/professor/1969165
"[""'GESM-131g'""]",Stacy Smith,"[""'35452R'""]",True,Stacy L Smith,4.2,3.1,47,77.7778,https://www.ratemyprofessors.com/professor/794431
"[""'GESM-131g'""]",Min-Kyoung Rhee,"[""'35457R'""]",True,Min-Kyoung Rhee,5,2,13,100,https://www.ratemyprofessors.com/professor/2591346
"[""'GESM-131g'""]",Laura Castaneda,"[""'35455R'""]",True,Laura Castañeda,0,0,0,-1,https://www.ratemyprofessors.com/professor/2866564
"[""'GESM-131g'""]",Najmedin Meshkati,"[""'35456R'""]",False,N/A,N/A,N/A,N/A,N/A,N/A
"[""'HIST-211gp'""]",Alaina Morgan,"[""'37028R'""]",True,Alaina Morgan,3.6,3.6,5,83.3333,https://www.ratemyprofessors.com/professor/2567367
"[""'HIST-250g'""]","Joshua Goldstein,","[""'37030R'""]",True,Joshua Goldstein,3.8,2.4,29,81.25,https://www.ratemyprofessors.com/professor/1384299
"[""'HIST-266gp'""]",Brett Sheehan,"[""'37107R'""]",True,Brett Sheehan,4.2,3.5,54,72.2222,https://www.ratemyprofessors.com/professor/1128522
"[""'GESM-131g'""]",Laura Davis,"[""'35451R'""]",True,Laura Davis,2.6,2.7,7,42.8571,https://www.ratemyprofessors.com/professor/2294208
"[""'ENST-100g'""]",Scott Applebaum,"[""'33000D'""]",True,Scott Applebaum,4.5,2.9,14,100,https://www.ratemyprofessors.com/professor/2508320
"[""'GESM-131g'""]",Daniela Baroffio,"[""'35453R'""]",True,Daniela Baroffio-Bota,3.8,3.3,34,85.7143,https://www.ratemyprofessors.com/professor/1085920
"[""'ENST-150xg'""]",Shannon Gibson,"[""'33005R'""]",True,Shannon Gibson,3.7,2.7,31,71.4286,https://www.ratemyprofessors.com/professor/1716538
"[""'ANTH-140g'"", ""'ANTH-263g'""]",Eric Heller,"[""'10601R'"", ""'10602R'"", ""'10603R'"", ""'10604R'"", ""'10605R'"", ""'10666R'"", ""'10667R'"", ""'10668R'"", ""'10669R'""]",True,Eric Heller,4,3.1,13,76.1905,https://www.ratemyprofessors.com/professor/2560469
"[""'ANTH-202g'""]",Tracie Mayfield,"[""'10615R'"", ""'10616R'"", ""'10617R'"", ""'10718R'"", ""'10719R'""]",True,Tracie Mayfield,4.8,1.9,21,87.5,https://www.ratemyprofessors.com/professor/2432970
"[""'ANTH-263g'""]",Jennifer Cool,"[""'10665R'""]",True,Jennifer Cool,3.6,2.9,12,66.6667,https://www.ratemyprofessors.com/professor/2182159
"[""'ANTH-205g'"", ""'ANTH-263g'""]",Sandy Wenger,"[""'10618R'"", ""'10660R'""]",True,Sandy Wenger,0,0,0,100,https://www.ratemyprofessors.com/professor/2864440
"[""'ANTH-316mgp'""]",Tok Thompson,"[""'10680D'""]",True,Tok Thompson,3.7,2.8,54,76.4706,https://www.ratemyprofessors.com/professor/1207495
"[""'ANTH-250g'""]",Janet Hoskins,"[""'10619R'""]",True,Janet Hoskins,3.9,3.5,11,85.7143,https://www.ratemyprofessors.com/professor/315194
"[""'GESM-131g'""]",Emma Aguila Vega,"[""'35454R'""]",False,N/A,N/A,N/A,N/A,N/A,N/A
"[""'ANTH-201g'""]",Thomas Ward,"[""'10610R'""]",True,Thomas Ward,4.1,3,47,68.5714,https://www.ratemyprofessors.com/professor/1514243
"[""'ANTH-338g'""]",Xochitl Ruiz,"[""'10687R'""]",True,Xochitl Ruiz,4.3,2.4,12,84.6154,https://www.ratemyprofessors.com/professor/2422759
"[""'AMST-135mgw'""]",Shawn McDaniel,"[""'10320R'""]",True,Shawn McDaniel,4.2,1.7,6,91.6667,https://www.ratemyprofessors.com/professor/2579654
"[""'AMST-101mgw'""]",George Sanchez,"[""'10310R'""]",True,George Sanchez,3.2,3.3,49,88.2353,https://www.ratemyprofessors.com/professor/549527
"[""'AMST-220gmw'""]",Adrian De Leon,"[""'10370R'""]",True,Adrian De Leon,5,3,2,100,https://www.ratemyprofessors.com/professor/2578944
"[""'AMST-274mw'""]",Chris Finley,"[""'10390R'""]",True,Chris Finley,4.8,2,23,100,https://www.ratemyprofessors.com/professor/2214671
"[""'ANTH-316mgp'"", ""'ANTH-332g'""]",Kristiana Willsey,"[""'10681R'"", ""'10682R'"", ""'10683R'"", ""'10684R'"", ""'10628R'""]",True,Kristiana Willsey,5,3.5,2,100,https://www.ratemyprofessors.com/professor/2635133
"[""'JS-180gp'""]","Sarah Benor,","[""'38261R'""]",True,Sarah Benor,4,2.5,18,88.8889,https://www.ratemyprofessors.com/professor/1307871
